Transcription-Units	Genes of transcription unit
TU220F-1668	SYNPCC7002_RS12075
TU220F-1634	SYNPCC7002_RS11840
TU220F-2141	SYNPCC7002_RS13815
TU220F-1436	SYNPCC7002_RS10270
TU220F-1528	SYNPCC7002_RS10975
TU220F-1645	SYNPCC7002_RS11915
TU220F-320	SYNPCC7002_RS01760 // SYNPCC7002_RS01755 // SYNPCC7002_RS01750
TU220F-1099	SYNPCC7002_RS07725
TU220F-626	SYNPCC7002_RS04075
TU220F-2556	SYNPCC7002_RS14965
TU220F-1407	SYNPCC7002_RS10080 // SYNPCC7002_RS10075 // SYNPCC7002_RS10070
TU220F-2468	SYNPCC7002_RS02675
TU220F-1765	SYNPCC7002_RS12780
TU220F-2040	SYNPCC7002_RS15715 // SYNPCC7002_RS15710 // SYNPCC7002_RS15705 // SYNPCC7002_RS15700
TU220F-2034	SYNPCC7002_RS16600 // SYNPCC7002_RS16595
TU220F-173	SYNPCC7002_RS00675
TU220F-565	SYNPCC7002_RS03605
TU220F-439	SYNPCC7002_RS02715
TU220F-2189	SYNPCC7002_RS12460
TU220F-1714	SYNPCC7002_RS12380 // SYNPCC7002_RS12375
TU220F-882	SYNPCC7002_RS06045 // SYNPCC7002_RS06040
TU220F-720	SYNPCC7002_RS04775
TU220F-946	SYNPCC7002_RS06510
TU220F-1403	SYNPCC7002_RS10035 // SYNPCC7002_RS10030 // SYNPCC7002_RS10025
TU220F-869	SYNPCC7002_RS05915
TU220F-656	SYNPCC7002_RS04290
TU220F-776	SYNPCC7002_RS05220
TU220F-2090	SYNPCC7002_RS14525
TU220F-1712	SYNPCC7002_RS12365
TU220F-263	SYNPCC7002_RS01290 // SYNPCC7002_RS01285
TU220F-2546	SYNPCC7002_RS00305
TU220F-115	SYNPCC7002_RS00235
TU220F-463	SYNPCC7002_RS02860
TU220F-251	SYNPCC7002_RS01215
TU220F-674	SYNPCC7002_RS04435 // SYNPCC7002_RS04430 // SYNPCC7002_RS04425
TU220F-651	SYNPCC7002_RS04260
TU220F-183	SYNPCC7002_RS16040
TU220F-1847	SYNPCC7002_RS13340
TU220F-2228	SYNPCC7002_RS11065
TU220F-1838	SYNPCC7002_RS13255
TU220F-1180	SYNPCC7002_RS08315 // SYNPCC7002_RS08310
TU220F-2002	SYNPCC7002_RS15445
TU220F-877	SYNPCC7002_RS05980
TU220F-928	SYNPCC7002_RS06410 // SYNPCC7002_RS06405
TU220F-932	SYNPCC7002_RS06430
TU220F-2418	SYNPCC7002_RS04850
TU220F-480	SYNPCC7002_RS02960
TU220F-1970	SYNPCC7002_RS14155
TU220F-1873	SYNPCC7002_RS13500
TU220F-1126	SYNPCC7002_RS07930
TU220F-1376	SYNPCC7002_RS09820
TU220F-1464	SYNPCC7002_RS10480
TU220F-989	SYNPCC7002_RS06800
TU220F-1951	SYNPCC7002_RS14040
TU220F-1188	SYNPCC7002_RS08365
TU220F-67	SYNPCC7002_RS14325 // SYNPCC7002_RS14320
TU220F-281	SYNPCC7002_RS01455
TU220F-2231	SYNPCC7002_RS10935
TU220F-196	SYNPCC7002_RS00805
TU220F-1974	SYNPCC7002_RS14175
TU220F-965	SYNPCC7002_RS06635
TU220F-747	SYNPCC7002_RS04990
TU220F-588	SYNPCC7002_RS03785
TU220F-2527	SYNPCC7002_RS00845
TU220F-1584	SYNPCC7002_RS11395
TU220F-313	SYNPCC7002_RS01705
TU220F-2215	SYNPCC7002_RS11525
TU220F-1422	SYNPCC7002_RS10175
TU220F-2385	SYNPCC7002_RS05985
TU220F-1808	SYNPCC7002_RS13055 // SYNPCC7002_RS13050
TU220F-2532	SYNPCC7002_RS00820
TU220F-192	SYNPCC7002_RS00785
TU220F-2036	SYNPCC7002_RS15680
TU220F-2268	SYNPCC7002_RS09770
TU220F-1106	SYNPCC7002_RS16680
TU220F-1410	SYNPCC7002_RS10100
TU220F-2368	SYNPCC7002_RS06320
TU220F-2019	SYNPCC7002_RS16860
TU220F-888	SYNPCC7002_RS06085
TU220F-169	SYNPCC7002_RS00620
TU220F-642	SYNPCC7002_RS04205
TU220F-848	SYNPCC7002_RS05725
TU220F-1560	SYNPCC7002_RS11210
TU220F-1617	SYNPCC7002_RS11675 // SYNPCC7002_RS11670 // SYNPCC7002_RS11665
TU220F-760	SYNPCC7002_RS05100
TU220F-1795	SYNPCC7002_RS12960
TU220F-2284	SYNPCC7002_RS09185
TU220F-2300	SYNPCC7002_RS08415
TU220F-1918	SYNPCC7002_RS13845
TU220F-1014	SYNPCC7002_RS06995
TU220F-1087	SYNPCC7002_RS07555
TU220F-2107	SYNPCC7002_RS14640
TU220F-537	SYNPCC7002_RS03395
TU220F-840	SYNPCC7002_RS05685 // SYNPCC7002_RS05680 // SYNPCC7002_RS05675
TU220F-1987	SYNPCC7002_RS15275
TU220F-785	SYNPCC7002_RS05320
TU220F-1721	SYNPCC7002_RS12445
TU220F-766	SYNPCC7002_RS05150
TU220F-1931	SYNPCC7002_RS13905
TU220F-655	SYNPCC7002_RS04280
TU220F-390	SYNPCC7002_RS02350
TU220F-2153	SYNPCC7002_RS13485
TU220F-1444	SYNPCC7002_RS10340
TU220F-2446	SYNPCC7002_RS03905
TU220F-1860	SYNPCC7002_RS13410
TU220F-2336	SYNPCC7002_RS07215
TU220F-2292	SYNPCC7002_RS08780
TU220F-1521	SYNPCC7002_RS10925
TU220F-1767	SYNPCC7002_RS12795
TU220F-1114	SYNPCC7002_RS07860
TU220F-1691	SYNPCC7002_RS12220
TU220F-924	SYNPCC7002_RS06360
TU220F-1391	SYNPCC7002_RS09925
TU220F-879	SYNPCC7002_RS06000
TU220F-510	SYNPCC7002_RS03180 // SYNPCC7002_RS03175 // SYNPCC7002_RS03170 // SYNPCC7002_RS03165
TU220F-947	SYNPCC7002_RS06515
TU220F-884	SYNPCC7002_RS06055
TU220F-2114	SYNPCC7002_RS14260
TU220F-1901	SYNPCC7002_RS13710
TU220F-1118	SYNPCC7002_RS07880
TU220F-2247	SYNPCC7002_RS10550
TU220F-267	SYNPCC7002_RS01325
TU220F-976	SYNPCC7002_RS06725
TU220F-933	SYNPCC7002_RS06435
TU220F-367	SYNPCC7002_RS02135
TU220F-799	SYNPCC7002_RS05425
TU220F-918	SYNPCC7002_RS06305
TU220F-2451	SYNPCC7002_RS03750
TU220F-2522	SYNPCC7002_RS01070
TU220F-2497	SYNPCC7002_RS01805
TU220F-1202	SYNPCC7002_RS08455
TU220F-770	SYNPCC7002_RS05190 // SYNPCC7002_RS05185 // SYNPCC7002_RS05180 // SYNPCC7002_RS05175
TU220F-1024	SYNPCC7002_RS07065 // SYNPCC7002_RS07060
TU220F-299	SYNPCC7002_RS01575
TU220F-2035	SYNPCC7002_RS16315 // SYNPCC7002_RS16310 // SYNPCC7002_RS16305
TU220F-673	SYNPCC7002_RS04420
TU220F-90	SYNPCC7002_RS00055
TU220F-1743	SYNPCC7002_RS12615 // SYNPCC7002_RS12610
TU220F-329	SYNPCC7002_RS01850
TU220F-2022	SYNPCC7002_RS15590
TU220F-715	SYNPCC7002_RS16085
TU220F-1142	SYNPCC7002_RS08040
TU220F-2042	SYNPCC7002_RS16535
TU220F-1190	SYNPCC7002_RS08375
TU220F-1638	SYNPCC7002_RS11870
TU220F-184	SYNPCC7002_RS00740
TU220F-899	SYNPCC7002_RS16100
TU220F-200	SYNPCC7002_RS00860
TU220F-1543	SYNPCC7002_RS11060
TU220F-1029	SYNPCC7002_RS07115
TU220F-373	SYNPCC7002_RS02205
TU220F-31	SYNPCC7002_RS14940
TU220F-2149	SYNPCC7002_RS13615
TU220F-2320	SYNPCC7002_RS07735
TU220F-524	SYNPCC7002_RS03285 // SYNPCC7002_RS03280 // SYNPCC7002_RS03275
TU220F-1098	SYNPCC7002_RS07720 // SYNPCC7002_RS07715
TU220F-206	SYNPCC7002_RS00910
TU220F-856	SYNPCC7002_RS05820
TU220F-1248	SYNPCC7002_RS08825 // SYNPCC7002_RS08820
TU220F-1047	SYNPCC7002_RS07285 // SYNPCC7002_RS07280
TU220F-2216	SYNPCC7002_RS11445
TU220F-1813	SYNPCC7002_RS13095 // SYNPCC7002_RS13090
TU220F-2507	SYNPCC7002_RS01650
TU220F-1483	SYNPCC7002_RS16715 // SYNPCC7002_RS10635 // SYNPCC7002_RS10630
TU220F-2537	SYNPCC7002_RS00585
TU220F-1360	SYNPCC7002_RS09720
TU220F-415	SYNPCC7002_RS16065
TU220F-1181	SYNPCC7002_RS08325 // SYNPCC7002_RS08320
TU220F-1303	SYNPCC7002_RS09290
TU220F-892	SYNPCC7002_RS06110
TU220F-97	SYNPCC7002_RS00115
TU220F-2437	SYNPCC7002_RS04210
TU220F-514	SYNPCC7002_RS03215
TU220F-1952	SYNPCC7002_RS14045
TU220F-1122	SYNPCC7002_RS07905
TU220F-2166	SYNPCC7002_RS13065
TU220F-1061	SYNPCC7002_RS07385
TU220F-733	SYNPCC7002_RS04890
TU220F-1313	SYNPCC7002_RS09360
TU220F-255	SYNPCC7002_RS01240
TU220F-468	SYNPCC7002_RS16380
TU220F-2157	SYNPCC7002_RS13335
TU220F-1252	SYNPCC7002_RS08875 // SYNPCC7002_RS08870 // SYNPCC7002_RS08865 // SYNPCC7002_RS08860
TU220F-1745	SYNPCC7002_RS12630
TU220F-114	SYNPCC7002_RS00230
TU220F-2426	SYNPCC7002_RS04675
TU220F-1644	SYNPCC7002_RS11910 // SYNPCC7002_RS11905
TU220F-784	SYNPCC7002_RS05315
TU220F-843	SYNPCC7002_RS05695
TU220F-1472	SYNPCC7002_RS10545
TU220F-1498	SYNPCC7002_RS10755
TU220F-1817	SYNPCC7002_RS13130
TU220F-1335	SYNPCC7002_RS09550 // SYNPCC7002_RS16165
TU220F-707	SYNPCC7002_RS04670 // SYNPCC7002_RS04665
TU220F-2478	SYNPCC7002_RS02405
TU220F-1739	SYNPCC7002_RS12585 // SYNPCC7002_RS12580
TU220F-1390	SYNPCC7002_RS09920
TU220F-860	SYNPCC7002_RS05850
TU220F-1704	SYNPCC7002_RS12295
TU220F-1716	SYNPCC7002_RS12415
TU220F-1872	SYNPCC7002_RS13495
TU220F-1837	SYNPCC7002_RS13250 // SYNPCC7002_RS13245
TU220F-259	SYNPCC7002_RS01265
TU220F-1605	SYNPCC7002_RS11575
TU220F-2117	SYNPCC7002_RS14285 // SYNPCC7002_RS14280
TU220F-1568	SYNPCC7002_RS11285 // SYNPCC7002_RS11280 // SYNPCC7002_RS11275
TU220F-1031	SYNPCC7002_RS07130
TU220F-1130	SYNPCC7002_RS07960
TU220F-1564	SYNPCC7002_RS11250
TU220F-1091	SYNPCC7002_RS07615 // SYNPCC7002_RS16445
TU220F-1207	SYNPCC7002_RS08500 // SYNPCC7002_RS08495
TU220F-1195	SYNPCC7002_RS08405
TU220F-1628	SYNPCC7002_RS11805
TU220F-322	SYNPCC7002_RS01770
TU220F-124	SYNPCC7002_RS00290
TU220F-1455	SYNPCC7002_RS10415
TU220F-618	SYNPCC7002_RS04025
TU220F-1811	SYNPCC7002_RS13075
TU220F-1660	SYNPCC7002_RS12020 // SYNPCC7002_RS12015
TU220F-1682	SYNPCC7002_RS12160
TU220F-2213	SYNPCC7002_RS11590
TU220F-587	SYNPCC7002_RS03780 // SYNPCC7002_RS03775
TU220F-644	SYNPCC7002_RS04220
TU220F-2340	SYNPCC7002_RS07095
TU220F-672	SYNPCC7002_RS04415
TU220F-1768	SYNPCC7002_RS12800
TU220F-1846	SYNPCC7002_RS13320
TU220F-2344	SYNPCC7002_RS07040
TU220F-334	SYNPCC7002_RS01880
TU220F-1241	SYNPCC7002_RS08770
TU220F-937	SYNPCC7002_RS06460
TU220F-1977	SYNPCC7002_RS16030
TU220F-1997	SYNPCC7002_RS15380 // SYNPCC7002_RS15375 // SYNPCC7002_RS15370
TU220F-2076	SYNPCC7002_RS15990
TU220F-1146	SYNPCC7002_RS08060
TU220F-1917	SYNPCC7002_RS13840
TU220F-1506	SYNPCC7002_RS10820 // SYNPCC7002_RS10815
TU220F-536	SYNPCC7002_RS03390
TU220F-824	SYNPCC7002_RS05570
TU220F-1013	SYNPCC7002_RS06990 // SYNPCC7002_RS06985
TU220F-2023	SYNPCC7002_RS15595
TU220F-2068	SYNPCC7002_RS16880 // SYNPCC7002_RS16875 // SYNPCC7002_RS16870
TU220F-2302	SYNPCC7002_RS08195
TU220F-2409	SYNPCC7002_RS05025
TU220F-2384	SYNPCC7002_RS05990
TU220F-732	SYNPCC7002_RS04880
TU220F-2013	SYNPCC7002_RS15535
TU220F-1551	SYNPCC7002_RS11120
TU220F-101	SYNPCC7002_RS00145
TU220F-968	SYNPCC7002_RS06655
TU220F-1786	SYNPCC7002_RS12915
TU220F-1343	SYNPCC7002_RS09600
TU220F-1600	SYNPCC7002_RS11535 // SYNPCC7002_RS11530
TU220F-998	SYNPCC7002_RS06870
TU220F-308	SYNPCC7002_RS01660
TU220F-1389	SYNPCC7002_RS09915
TU220F-2328	SYNPCC7002_RS07495
TU220F-746	SYNPCC7002_RS04985
TU220F-2283	SYNPCC7002_RS09200
TU220F-1805	SYNPCC7002_RS13035
TU220F-2048	SYNPCC7002_RS15790 // SYNPCC7002_RS16325 // SYNPCC7002_RS15780 // SYNPCC7002_RS15775 // SYNPCC7002_RS15770 // SYNPCC7002_RS15765
TU220F-1136	SYNPCC7002_RS07995
TU220F-2359	SYNPCC7002_RS06625
TU220F-828	SYNPCC7002_RS05605
TU220F-210	SYNPCC7002_RS00930
TU220F-2235	SYNPCC7002_RS10840
TU220F-2201	SYNPCC7002_RS12110
TU220F-2143	SYNPCC7002_RS13805
TU220F-1217	SYNPCC7002_RS08575
TU220F-417	SYNPCC7002_RS02580 // SYNPCC7002_RS02575
TU220F-2193	SYNPCC7002_RS12360
TU220F-2496	SYNPCC7002_RS01990
TU220F-1827	SYNPCC7002_RS13180
TU220F-798	SYNPCC7002_RS05420
TU220F-2121	SYNPCC7002_RS16025
TU220F-1073	SYNPCC7002_RS07470
TU220F-2267	SYNPCC7002_RS09775
TU220F-2518	SYNPCC7002_RS01305
TU220F-1773	SYNPCC7002_RS12840
TU220F-2055	SYNPCC7002_RS15840
TU220F-2555	SYNPCC7002_RS15105
TU220F-2377	SYNPCC7002_RS06150
TU220F-1953	SYNPCC7002_RS14050
TU220F-719	SYNPCC7002_RS04765 // SYNPCC7002_RS04760
TU220F-1033	SYNPCC7002_RS07150 // SYNPCC7002_RS07145 // SYNPCC7002_RS07140
TU220F-1542	SYNPCC7002_RS11055 // SYNPCC7002_RS11050
TU220F-1435	SYNPCC7002_RS10265
TU220F-383	SYNPCC7002_RS02305
TU220F-338	SYNPCC7002_RS01905
TU220F-2020	SYNPCC7002_RS16865
TU220F-2319	SYNPCC7002_RS07740
TU220F-2220	SYNPCC7002_RS11375
TU220F-269	SYNPCC7002_RS01355 // SYNPCC7002_RS01350
TU220F-812	SYNPCC7002_RS05500
TU220F-1097	SYNPCC7002_RS07700 // SYNPCC7002_RS16675 // SYNPCC7002_RS07695 // SYNPCC7002_RS07690 // SYNPCC7002_RS07685
TU220F-2467	SYNPCC7002_RS02760
TU220F-547	SYNPCC7002_RS03475 // SYNPCC7002_RS03470 // SYNPCC7002_RS03465
TU220F-1667	SYNPCC7002_RS12070
TU220F-479	SYNPCC7002_RS02955
TU220F-874	SYNPCC7002_RS05960
TU220F-1623	SYNPCC7002_RS11740
TU220F-1196	SYNPCC7002_RS08410
TU220F-1046	SYNPCC7002_RS07275
TU220F-1527	SYNPCC7002_RS10970
TU220F-1209	SYNPCC7002_RS08515 // SYNPCC7002_RS08510
TU220F-775	SYNPCC7002_RS05215
TU220F-1930	SYNPCC7002_RS13900
TU220F-2170	SYNPCC7002_RS12980
TU220F-1829	SYNPCC7002_RS13190
TU220F-564	SYNPCC7002_RS03600
TU220F-2545	SYNPCC7002_RS00310
TU220F-1273	SYNPCC7002_RS09035
TU220F-731	SYNPCC7002_RS04875
TU220F-975	SYNPCC7002_RS06720
TU220F-573	SYNPCC7002_RS03685
TU220F-951	SYNPCC7002_RS06540
TU220F-1260	SYNPCC7002_RS08955
TU220F-671	SYNPCC7002_RS04410
TU220F-2027	SYNPCC7002_RS15620
TU220F-113	SYNPCC7002_RS00215
TU220F-175	SYNPCC7002_RS00685
TU220F-2094	SYNPCC7002_RS14550
TU220F-1594	SYNPCC7002_RS11495
TU220F-1871	SYNPCC7002_RS13490
TU220F-2257	SYNPCC7002_RS10220
TU220F-1243	SYNPCC7002_RS08795
TU220F-2477	SYNPCC7002_RS02410
TU220F-297	SYNPCC7002_RS01565
TU220F-186	SYNPCC7002_RS00750
TU220F-2417	SYNPCC7002_RS04855
TU220F-1402	SYNPCC7002_RS10005
TU220F-1388	SYNPCC7002_RS09910
TU220F-1703	SYNPCC7002_RS12290
TU220F-1497	SYNPCC7002_RS10750
TU220F-1463	SYNPCC7002_RS10475
TU220F-2145	SYNPCC7002_RS13795
TU220F-1889	SYNPCC7002_RS13620
TU220F-1881	SYNPCC7002_RS13550
TU220F-1375	SYNPCC7002_RS09815
TU220F-845	SYNPCC7002_RS05710
TU220F-1513	SYNPCC7002_RS10865 // SYNPCC7002_RS10860
TU220F-1836	SYNPCC7002_RS13240 // SYNPCC7002_RS13235
TU220F-1482	SYNPCC7002_RS10625
TU220F-759	SYNPCC7002_RS05095
TU220F-2436	SYNPCC7002_RS04225
TU220F-321	SYNPCC7002_RS01765
TU220F-1583	SYNPCC7002_RS11390
TU220F-1421	SYNPCC7002_RS10170
TU220F-225	SYNPCC7002_RS01060
TU220F-1643	SYNPCC7002_RS11900
TU220F-1060	SYNPCC7002_RS07380
TU220F-1191	SYNPCC7002_RS08385 // SYNPCC7002_RS08380
TU220F-1291	SYNPCC7002_RS09190
TU220F-2367	SYNPCC7002_RS06340
TU220F-242	SYNPCC7002_RS01160
TU220F-625	SYNPCC7002_RS04070
TU220F-1784	SYNPCC7002_RS12905
TU220F-128	SYNPCC7002_RS00325
TU220F-1865	SYNPCC7002_RS13445
TU220F-559	SYNPCC7002_RS03565 // SYNPCC7002_RS03560 // SYNPCC7002_RS03555
TU220F-906	SYNPCC7002_RS06225
TU220F-1778	SYNPCC7002_RS12870
TU220F-1678	SYNPCC7002_RS12135 // SYNPCC7002_RS12130
TU220F-1725	SYNPCC7002_RS12485
TU220F-1775	SYNPCC7002_RS12850
TU220F-631	SYNPCC7002_RS04105
TU220F-84	SYNPCC7002_RS14195
TU220F-262	SYNPCC7002_RS01280
TU220F-880	SYNPCC7002_RS06020 // SYNPCC7002_RS06015
TU220F-2183	SYNPCC7002_RS12505
TU220F-863	SYNPCC7002_RS05875
TU220F-498	SYNPCC7002_RS03085
TU220F-907	SYNPCC7002_RS06230
TU220F-69	SYNPCC7002_RS14340 // SYNPCC7002_RS14335
TU220F-105	SYNPCC7002_RS00165
TU220F-2246	SYNPCC7002_RS10555
TU220F-586	SYNPCC7002_RS16385
TU220F-1831	SYNPCC7002_RS13200
TU220F-2495	SYNPCC7002_RS02090
TU220F-270	SYNPCC7002_RS01360
TU220F-2291	SYNPCC7002_RS16150
TU220F-670	SYNPCC7002_RS04405
TU220F-2304	SYNPCC7002_RS08185
TU220F-1856	SYNPCC7002_RS13390
TU220F-2383	SYNPCC7002_RS06005
TU220F-1845	SYNPCC7002_RS13315
TU220F-931	SYNPCC7002_RS06425
TU220F-1690	SYNPCC7002_RS12210
TU220F-4	SYNPCC7002_RS14715 // SYNPCC7002_RS14710
TU220F-1082	SYNPCC7002_RS07530
TU220F-2205	SYNPCC7002_RS11860
TU220F-1801	SYNPCC7002_RS13000
TU220F-1599	SYNPCC7002_RS11520
TU220F-1443	SYNPCC7002_RS10335
TU220F-2021	SYNPCC7002_RS15585
TU220F-2456	SYNPCC7002_RS03375
TU220F-1387	SYNPCC7002_RS09905
TU220F-2028	SYNPCC7002_RS15625
TU220F-745	SYNPCC7002_RS04980
TU220F-1625	SYNPCC7002_RS11755
TU220F-2347	SYNPCC7002_RS06945
TU220F-1075	SYNPCC7002_RS07480
TU220F-714	SYNPCC7002_RS04730 // SYNPCC7002_RS04725
TU220F-2217	SYNPCC7002_RS11440
TU220F-535	SYNPCC7002_RS03385
TU220F-2449	SYNPCC7002_RS03865
TU220F-48	SYNPCC7002_RS15080 // SYNPCC7002_RS15075 // SYNPCC7002_RS15070 // SYNPCC7002_RS15065
TU220F-1012	SYNPCC7002_RS06980
TU220F-1996	SYNPCC7002_RS15365
TU220F-1535	SYNPCC7002_RS11015
TU220F-938	SYNPCC7002_RS06465
TU220F-797	SYNPCC7002_RS05415
TU220F-596	SYNPCC7002_RS03855
TU220F-577	SYNPCC7002_RS03710
TU220F-948	SYNPCC7002_RS06520
TU220F-353	SYNPCC7002_RS02040 // SYNPCC7002_RS02035
TU220F-1002	SYNPCC7002_RS06905
TU220F-934	SYNPCC7002_RS06440
TU220F-808	SYNPCC7002_RS05475
TU220F-2282	SYNPCC7002_RS09220
TU220F-2266	SYNPCC7002_RS09825
TU220F-217	SYNPCC7002_RS00965
TU220F-1105	SYNPCC7002_RS07800
TU220F-1916	SYNPCC7002_RS13830
TU220F-452	SYNPCC7002_RS02795
TU220F-730	SYNPCC7002_RS04865 // SYNPCC7002_RS04860
TU220F-203	SYNPCC7002_RS00880 // SYNPCC7002_RS00875
TU220F-855	SYNPCC7002_RS05815 // SYNPCC7002_RS16435 // SYNPCC7002_RS05810
TU220F-1255	SYNPCC7002_RS16460 // SYNPCC7002_RS08920
TU220F-1141	SYNPCC7002_RS08035
TU220F-135	SYNPCC7002_RS00370
TU220F-1674	SYNPCC7002_RS12115
TU220F-1113	SYNPCC7002_RS07855
TU220F-1302	SYNPCC7002_RS09285 // SYNPCC7002_RS09280
TU220F-898	SYNPCC7002_RS06155
TU220F-1541	SYNPCC7002_RS11045
TU220F-831	SYNPCC7002_RS05620
TU220F-454	SYNPCC7002_RS02810 // SYNPCC7002_RS02805
TU220F-2106	SYNPCC7002_RS14635 // SYNPCC7002_RS14630 // SYNPCC7002_RS14625
TU220F-389	SYNPCC7002_RS02345
TU220F-546	SYNPCC7002_RS03460
TU220F-2318	SYNPCC7002_RS07765
TU220F-783	SYNPCC7002_RS05310
TU220F-1929	SYNPCC7002_RS13895
TU220F-205	SYNPCC7002_RS00890
TU220F-413	SYNPCC7002_RS02545
TU220F-1245	SYNPCC7002_RS08805
TU220F-428	SYNPCC7002_RS02655
TU220F-188	SYNPCC7002_RS00760
TU220F-1035	SYNPCC7002_RS07170 // SYNPCC7002_RS07165
TU220F-2391	SYNPCC7002_RS05765
TU220F-1359	SYNPCC7002_RS09710
TU220F-2425	SYNPCC7002_RS04700
TU220F-654	SYNPCC7002_RS04275
TU220F-1858	SYNPCC7002_RS13400
TU220F-399	SYNPCC7002_RS16375
TU220F-2080	SYNPCC7002_RS16015
TU220F-1471	SYNPCC7002_RS10540
TU220F-1271	SYNPCC7002_RS09020
TU220F-385	SYNPCC7002_RS02320 // SYNPCC7002_RS02315
TU220F-328	SYNPCC7002_RS01845
TU220F-1023	SYNPCC7002_RS07055
TU220F-2165	SYNPCC7002_RS16215
TU220F-1210	SYNPCC7002_RS08520
TU220F-2162	SYNPCC7002_RS13145
TU220F-581	SYNPCC7002_RS03745 // SYNPCC7002_RS03740
TU220F-89	SYNPCC7002_RS00050 // SYNPCC7002_RS00045
TU220F-669	SYNPCC7002_RS04400 // SYNPCC7002_RS04395 // SYNPCC7002_RS04390
TU220F-422	SYNPCC7002_RS02615
TU220F-112	SYNPCC7002_RS00210
TU220F-1608	SYNPCC7002_RS11610
TU220F-912	SYNPCC7002_RS06265 // SYNPCC7002_RS06260
TU220F-1604	SYNPCC7002_RS11570 // SYNPCC7002_RS11565
TU220F-935	SYNPCC7002_RS06445
TU220F-1429	SYNPCC7002_RS10230 // SYNPCC7002_RS10225
TU220F-2531	SYNPCC7002_RS00825
TU220F-502	SYNPCC7002_RS03120
TU220F-1285	SYNPCC7002_RS09150
TU220F-1702	SYNPCC7002_RS12285
TU220F-1164	SYNPCC7002_RS08215
TU220F-1232	SYNPCC7002_RS08710
TU220F-881	SYNPCC7002_RS06025
TU220F-1386	SYNPCC7002_RS09900
TU220F-1807	SYNPCC7002_RS16495 // SYNPCC7002_RS13045
TU220F-372	SYNPCC7002_RS02200
TU220F-1816	SYNPCC7002_RS13125
TU220F-1166	SYNPCC7002_RS08230
TU220F-2251	SYNPCC7002_RS10455
TU220F-16	SYNPCC7002_RS14810 // SYNPCC7002_RS14805
TU220F-2554	SYNPCC7002_RS15195
TU220F-1219	SYNPCC7002_RS08590
TU220F-2401	SYNPCC7002_RS05395
TU220F-2308	SYNPCC7002_RS08160
TU220F-2393	SYNPCC7002_RS05730
TU220F-1312	SYNPCC7002_RS16690
TU220F-1698	SYNPCC7002_RS12265 // SYNPCC7002_RS12260
TU220F-1295	SYNPCC7002_RS09215
TU220F-1481	SYNPCC7002_RS10620
TU220F-694	SYNPCC7002_RS04560
TU220F-2494	SYNPCC7002_RS02150
TU220F-1517	SYNPCC7002_RS10900
TU220F-2136	SYNPCC7002_RS13965
TU220F-2435	SYNPCC7002_RS04325
TU220F-1496	SYNPCC7002_RS10745
TU220F-949	SYNPCC7002_RS06525
TU220F-366	SYNPCC7002_RS02130
TU220F-96	SYNPCC7002_RS00110
TU220F-1374	SYNPCC7002_RS09810
TU220F-758	SYNPCC7002_RS05075
TU220F-2096	SYNPCC7002_RS14560
TU220F-246	SYNPCC7002_RS01190 // SYNPCC7002_RS01185
TU220F-123	SYNPCC7002_RS00285 // SYNPCC7002_RS00280 // SYNPCC7002_RS00275
TU220F-608	SYNPCC7002_RS03955
TU220F-2445	SYNPCC7002_RS03910
TU220F-305	SYNPCC7002_RS01620
TU220F-1944	SYNPCC7002_RS13995
TU220F-1505	SYNPCC7002_RS10810 // SYNPCC7002_RS10805
TU220F-1658	SYNPCC7002_RS12005
TU220F-1059	SYNPCC7002_RS07375
TU220F-2299	SYNPCC7002_RS08480
TU220F-1893	SYNPCC7002_RS13645
TU220F-72	SYNPCC7002_RS14375 // SYNPCC7002_RS14370 // SYNPCC7002_RS14365
TU220F-300	SYNPCC7002_RS01590
TU220F-1958	SYNPCC7002_RS14075
TU220F-1962	SYNPCC7002_RS14095
TU220F-2512	SYNPCC7002_RS01480
TU220F-156	SYNPCC7002_RS00535
TU220F-1906	SYNPCC7002_RS13745 // SYNPCC7002_RS13740
TU220F-698	SYNPCC7002_RS04590
TU220F-325	SYNPCC7002_RS01825 // SYNPCC7002_RS01820
TU220F-460	SYNPCC7002_RS02845
TU220F-1096	SYNPCC7002_RS07680
TU220F-1192	SYNPCC7002_RS08390
TU220F-1238	SYNPCC7002_RS08750 // SYNPCC7002_RS08745
TU220F-1803	SYNPCC7002_RS13020 // SYNPCC7002_RS13015 // SYNPCC7002_RS13010
TU220F-2075	SYNPCC7002_RS15985
TU220F-529	SYNPCC7002_RS03315
TU220F-152	SYNPCC7002_RS00505
TU220F-865	SYNPCC7002_RS05885
TU220F-120	SYNPCC7002_RS00260
TU220F-1550	SYNPCC7002_RS11115
TU220F-2351	SYNPCC7002_RS06885
TU220F-2045	SYNPCC7002_RS15740
TU220F-1454	SYNPCC7002_RS10410
TU220F-1006	SYNPCC7002_RS06930
TU220F-816	SYNPCC7002_RS05525
TU220F-436	SYNPCC7002_RS02700
TU220F-1156	SYNPCC7002_RS08120
TU220F-2128	SYNPCC7002_RS15575
TU220F-2382	SYNPCC7002_RS06010
TU220F-668	SYNPCC7002_RS04375
TU220F-138	SYNPCC7002_RS00385
TU220F-1135	SYNPCC7002_RS07990
TU220F-59	SYNPCC7002_RS15180 // SYNPCC7002_RS15175
TU220F-1844	SYNPCC7002_RS16225
TU220F-2327	SYNPCC7002_RS07625
TU220F-1213	SYNPCC7002_RS08540
